symbol,last_result,next_result
RELIANCE,2026-04-24,2026-07-17
TCS,2026-04-09,2026-07-09
HDFCBANK,2026-04-18,2026-07-18
INFY,2026-04-23,2026-07-23
ICICIBANK,2026-04-18,2026-07-18
HINDUNILVR,2026-04-30,2026-08-06
SBIN,2026-02-07,2026-05-08
BHARTIARTL,2026-02-05,2026-05-13
ITC,2026-01-29,2026-05-21
KOTAKBANK,2026-05-02,2026-07-18
LT,2026-05-05,2026-07-28
AXISBANK,2026-04-25,2026-07-16
ASIANPAINT,2026-01-27,2026-05-29
MARUTI,2026-04-28,2026-07-30
SUNPHARMA,2026-01-31,2026-05-21
TITAN,2026-02-10,2026-05-08
BAJFINANCE,2026-04-29,2026-07-23
WIPRO,2026-04-16,2026-07-16
NESTLEIND,2026-04-21,2026-07-23
HCLTECH,2026-04-21,2026-07-13
NTPC,2025-10-30,2026-05-29
POWERGRID,2026-01-30,2026-05-18
ONGC,2026-02-12,2026-05-20
COALINDIA,2026-04-26,2026-07-30
TATASTEEL,2026-02-06,2026-05-13
JSWSTEEL,2026-01-23,2026-05-14
HINDALCO,2026-02-12,2026-05-22
DRREDDY,2026-01-21,2026-05-12
CIPLA,2026-01-23,2026-05-13
DIVISLAB,2026-02-11,2026-05-14
EICHERMOT,2026-02-10,2026-05-14
HEROMOTOCO,2026-05-05,2026-08-05
BRITANNIA,2026-05-07,
BPCL,2026-01-23,2026-05-12
GRASIM,2026-02-10,2026-05-21
TECHM,2026-04-22,2026-07-16
INDUSINDBK,2026-04-24,2026-07-28
BAJAJ-AUTO,2026-05-06,
TATACONSUM,2026-01-27,2026-05-08
ADANIENT,2026-04-30,2026-07-30
DABUR,2026-05-07,
GODREJCP,2026-05-06,
MARICO,2026-05-05,2026-08-04
PIDILITIND,2026-05-07,
HAVELLS,2026-04-22,2026-07-21
VOLTAS,2026-01-29,2026-05-08
AUROPHARMA,2026-02-09,2026-05-25
LUPIN,2026-05-07,
BIOCON,2026-05-07,
SIEMENS,2025-11-14,2026-05-12
ABB,2026-02-19,2026-05-08
CUMMINSIND,2026-02-04,2026-05-27
TATAPOWER,2026-02-04,2026-05-12
PETRONET,2026-05-04,2026-07-23
BANKBARODA,2026-01-30,2026-05-08
PNB,2026-05-05,2026-07-30
IOC,2026-02-05,2026-05-18
GAIL,2026-01-31,2026-05-13
NMDC,2026-02-03,2026-05-27
ULTRACEMCO,2026-04-27,2026-07-20
